Order Date,ONDC Order ID,Restaurant Name,Restaurant ID,Locality,Order Status,Order Total,Copay,Copay Amount,Net Bill Value,Total Container Charge,Total GST,Commission %,GST on commission %,TCS,TDS,GF Platform Fee,GST on GF Platform Fee,Self Delivery Charges,Delivery Discount,Total Payable to Merchant
2025-03-03T07:57:17.680Z,GF4004741524,Biryani boxx,GFFBRTBI1698734884,"Basavanna nagar main road, hoodi",Completed,709.9200000000001,,0,531,40,28.58,8,18%,0,0.5710000000000001,56.79,10.22,0,0,503.41
2025-03-05T06:30:21.276Z,GF5620662309,Biryani boxx,GFFBRTBI1698734884,Ambethkar nagar,Completed,238.56,,0,149,15,8.22,8,18%,0,0.164,19.08,3.44,0,0,141.32
2025-03-09T09:06:17.458Z,GF1626358593,Biryani Hub,GFFBRTBI1726752008,Nagondanahallli Whitefield,Completed,780.7,,0,662,25,34.36,8,18%,0,0.687,62.46,11.24,0,0,612.61
2025-03-03T07:03:01.159Z,GF3466659295,DILLI CHAAT,GFFBRTDI1726752027,Pattandur agrahar,Completed,303.36,,0,190,30,11.02,8,18%,0,0.22,24.27,4.37,0,0,191.14
2025-03-03T11:49:30.836Z,GF4639581223,DILLI CHAAT,GFFBRTDI1726752027,"Nallurhalli, Whitefield Bangalore",Completed,409.88,,0,220,90,15.54,8,18%,0,0.31,32.79,5.9,0,0,271.0
2025-03-03T12:22:23.367Z,GF2090321206,DILLI CHAAT,GFFBRTDI1726752027,Channasandra,Completed,227.36,,0,140,20,8.02,8,18%,0,0.16,18.19,3.27,0,0,138.38
2025-03-04T07:01:56.497Z,GF3180320999,DILLI CHAAT,GFFBRTDI1726752027,Yello living,Completed,329.59999999999997,,0,235,10,12.26,8,18%,0,0.245,26.37,4.75,0,0,213.64
2025-03-05T12:49:56.489Z,GF3034640996,DILLI CHAAT,GFFBRTDI1726752027,Near whitefield railway station,Completed,303.78,,0,163,45,10.44,8,18%,0,0.20800000000000002,24.3,4.37,0,0,179.12
2025-03-05T19:42:17.744Z,GF3844889726,DILLI CHAAT,GFFBRTDI1726752027,Prashanth extension,Completed,376.85999999999996,,0,280,10,14.52,8,18%,0,0.29,30.15,5.43,0,0,254.13
2025-03-06T13:49:03.768Z,GF1017229113,DILLI CHAAT,GFFBRTDI1726752027,Belathur Kadugodi,Completed,473.91999999999996,,0,286,85,18.58,8,18%,0,0.371,37.91,6.82,0,0,325.89
2025-03-06T14:19:10.413Z,GF8759257940,DILLI CHAAT,GFFBRTDI1726752027,Near Prestige Ozone Exit Gate,Completed,307.56,,0,164,60,11.219999999999999,8,18%,0,0.224,24.6,4.43,0,0,194.74
2025-03-06T16:41:32.340Z,GF1169558008,DILLI CHAAT,GFFBRTDI1726752027,Ambedkar Nagar,Completed,257.82,,0,149,40,9.48,8,18%,0,0.189,20.63,3.71,0,0,164.47
2025-03-07T17:39:59.068Z,GF1947224537,DILLI CHAAT,GFFBRTDI1726752027,Channasandra,Completed,381.06,,0,264,30,14.719999999999999,8,18%,0,0.294,30.48,5.49,0,0,257.73
2025-03-08T05:59:49.063Z,GF1207570667,DILLI CHAAT,GFFBRTDI1726752027,"Opp DSR,near zudio",Completed,259.91999999999996,,0,151,40,9.579999999999998,8,18%,0,0.191,20.79,3.74,0,0,166.27
2025-03-08T13:39:50.890Z,GF1170980887,DILLI CHAAT,GFFBRTDI1726752027,Whitefield,Completed,252.56,,0,154,30,9.219999999999999,8,18%,0,0.184,20.2,3.64,0,0,159.97
2025-03-08T14:32:26.919Z,GF6348235169,DILLI CHAAT,GFFBRTDI1726752027,Slv nilaya,Completed,428.96,,0,272,80,17.619999999999997,8,18%,0,0.352,34.32,6.18,0,0,311.15
2025-03-09T07:27:43.040Z,GF6705542108,DILLI CHAAT,GFFBRTDI1726752027,Nagondahalli,Completed,314.52,,0,203,40,12.18,8,18%,0,0.243,25.16,4.53,0,0,213.07
2025-03-09T08:24:03.818Z,GF4872093327,DILLI CHAAT,GFFBRTDI1726752027,Sizzle meadows entrance near,Completed,376.86,,0,190,40,11.52,8,18%,0,0.23,30.15,5.43,0,0,194.19
2025-03-09T11:24:07.089Z,GF1052315213,DILLI CHAAT,GFFBRTDI1726752027,Near whitefield railway station,Completed,449.34,,0,304,55,18,8,18%,0,0.359,35.95,6.47,0,0,316.22
2025-03-09T11:39:17.386Z,GF7763147341,DILLI CHAAT,GFFBRTDI1726752027,Whitefield 560066,Completed,288.24,,0,158,60,10.9,8,18%,0,0.218,23.06,4.15,0,0,190.57
2025-03-09T12:28:50.062Z,GF3318257775,DILLI CHAAT,GFFBRTDI1726752027,Munnekollal,Completed,358.64,,0,175,50,11.3,8,18%,0,0.225,28.69,5.16,0,0,190.92
2025-03-09T13:55:53.362Z,GF1119767233,DILLI CHAAT,GFFBRTDI1726752027,Near DSR bangalore,Completed,320.2,,0,197,40,11.86,8,18%,0,0.23700000000000002,25.62,4.61,0,0,206.54
2025-03-09T15:08:52.026Z,GF2166169105,DILLI CHAAT,GFFBRTDI1726752027,In front of Zolo Avni PG,Completed,250.44,,0,152,30,9.1,8,18%,0,0.182,20.04,3.61,0,0,158.18
2025-03-09T17:03:19.834Z,GF1028918443,DILLI CHAAT,GFFBRTDI1726752027,5th Cross road,Completed,262.02,,0,163,30,9.68,8,18%,0,0.193,20.96,3.77,0,0,168.07
2025-03-09T17:05:12.712Z,GF3041033446,DILLI CHAAT,GFFBRTDI1726752027,Whitefield,Completed,374.38,,0,230,70,15.040000000000001,8,18%,0,0.3,29.95,5.39,0,0,264.36
2025-03-03T05:44:24.566Z,GF1134320555,DILLI DARBAR,GFFBRTDI1726752040,Medahalli,Completed,264.3,,0,149,10,7.96,8,18%,0,0.159,21.14,3.81,0,0,133.89
2025-03-03T06:01:31.084Z,GF2861069916,DILLI DARBAR,GFFBRTDI1726752040,Chinnapanahalli,Completed,318.06,,0,159,15,8.72,8,18%,0,0.17400000000000002,25.44,4.58,0,0,143.8
2025-03-03T06:16:12.511Z,GF2250538096,DILLI DARBAR,GFFBRTDI1726752040,Whitefield,Completed,244.9,,0,171,0,8.56,8,18%,0,0.171,19.59,3.53,0,0,147.71
2025-03-03T06:19:51.010Z,GF9412189259,DILLI DARBAR,GFFBRTDI1726752040,Chinnappanahalli road,Completed,342.22,,0,172,25,9.879999999999999,8,18%,0,0.197,27.38,4.93,0,0,164.5
2025-03-03T08:03:31.537Z,GF4325256711,DILLI DARBAR,GFFBRTDI1726752040,"Kadugodi, Whitefield",Completed,224.20000000000002,,0,137,20,7.86,8,18%,0,0.157,17.94,3.23,0,0,135.68
2025-03-03T08:24:49.187Z,GF5228165686,DILLI DARBAR,GFFBRTDI1726752040,Nallurhalli,Completed,212.46,,0,107,15,6.12,8,18%,0,0.122,17.0,3.06,0,0,101.82
2025-03-03T08:31:43.696Z,GF3398189761,DILLI DARBAR,GFFBRTDI1726752040,Ecc Road,Completed,263.06,,0,154,40,9.719999999999999,8,18%,0,0.194,21.04,3.79,0,0,168.97
2025-03-03T08:43:38.076Z,GF1065699601,DILLI DARBAR,GFFBRTDI1726752040,"Borewell road , whitefield -560066",Completed,205.3,,0,119,20,6.96,8,18%,0,0.139,16.42,2.96,0,0,119.48
2025-03-03T09:16:22.072Z,GF6066430140,DILLI DARBAR,GFFBRTDI1726752040,Garudachar palya mahadevapura,Completed,310.12,,0,140,15,7.779999999999999,8,18%,0,0.155,24.81,4.47,0,0,125.57
2025-03-03T09:16:37.941Z,GF2778624755,DILLI DARBAR,GFFBRTDI1726752040,Maithri layout,Completed,251.5,,0,173,10,9.16,8,18%,0,0.183,20.12,3.62,0,0,159.08
2025-03-03T10:28:32.511Z,GF1176932620,DILLI DARBAR,GFFBRTDI1726752040,Maitri layout,Completed,239.3,,0,149,10,7.96,8,18%,0,0.159,19.14,3.45,0,0,136.25
2025-03-03T11:09:58.763Z,GF4621542849,DILLI DARBAR,GFFBRTDI1726752040,"3G Homes Crimson Layout, Kadugodi",Completed,329.21999999999997,,0,232,25,12.88,8,18%,0,0.257,26.34,4.74,0,0,225.66
2025-03-03T11:58:10.402Z,GF1102614932,DILLI DARBAR,GFFBRTDI1726752040,Channasandra main road,Completed,206.36,,0,125,15,7.02,8,18%,0,0.14,16.51,2.97,0,0,120.38
2025-03-03T12:18:48.612Z,GF9080744722,DILLI DARBAR,GFFBRTDI1726752040,Prestige Mayberry opposite road,Completed,468.85999999999996,,0,370,20,19.52,8,18%,0,0.39,37.51,6.75,0,0,345.35
2025-03-03T13:44:12.828Z,GF1130078857,DILLI DARBAR,GFFBRTDI1726752040,Floor1,Completed,182.2,,0,107,10,5.86,8,18%,0,0.117,14.58,2.62,0,0,99.68
2025-03-03T13:58:34.810Z,GF4308678541,DILLI DARBAR,GFFBRTDI1726752040,Channasandra,Completed,182.2,,0,107,10,5.86,8,18%,0,0.117,14.58,2.62,0,0,99.68
2025-03-03T14:16:31.844Z,GF3719031078,DILLI DARBAR,GFFBRTDI1726752040,Station Road,Completed,219.36,,0,125,15,7.02,8,18%,0,0.14,17.55,3.16,0,0,119.15
2025-03-03T14:28:18.680Z,GF7065388236,DILLI DARBAR,GFFBRTDI1726752040,Kadugodi,Completed,324.36,,0,230,10,12.020000000000001,8,18%,0,0.24,25.95,4.67,0,0,209.14
2025-03-03T14:28:58.687Z,GF4331713924,DILLI DARBAR,GFFBRTDI1726752040,Whitefield,Completed,260.94,,0,192,0,9.6,8,18%,0,0.192,20.88,3.76,0,0,167.18
2025-03-03T14:30:54.175Z,GF6180248664,DILLI DARBAR,GFFBRTDI1726752040,Near Nandini Parlour,Completed,276.08000000000004,,0,179,15,9.74,8,18%,0,0.194,22.09,3.98,0,0,167.74
2025-03-03T15:07:15.117Z,GF7418067663,DILLI DARBAR,GFFBRTDI1726752040,Prasanth layout,Completed,182.2,,0,107,10,5.86,8,18%,0,0.117,14.58,2.62,0,0,99.68
2025-03-03T15:07:43.275Z,GF9781489412,DILLI DARBAR,GFFBRTDI1726752040,"Saraswati nagar, mahadevpura",Completed,275.46000000000004,,0,107,15,6.12,8,18%,0,0.122,22.04,3.97,0,0,95.87
2025-03-03T15:20:03.351Z,GF1126889610,DILLI DARBAR,GFFBRTDI1726752040,SJP layout 6th cross,Completed,312.42,,0,201,40,12.08,8,18%,0,0.241,24.99,4.5,0,0,211.27
2025-03-03T15:52:53.026Z,GF9873834700,DILLI DARBAR,GFFBRTDI1726752040,Kundalahalli gate,Completed,465.7,,0,317,10,16.36,8,18%,0,0.327,37.26,6.71,0,0,282.71
2025-03-03T16:06:41.796Z,GF6275147821,DILLI DARBAR,GFFBRTDI1726752040,"Guru Sree Wines Road, Pattandur Agrahara,",Completed,258.20000000000005,,0,167,10,8.86,8,18%,0,0.177,20.66,3.72,0,0,152.45
2025-03-03T16:57:53.403Z,GF5521932188,DILLI DARBAR,GFFBRTDI1726752040,WhiteRose layout,Completed,174.85999999999999,,0,95,15,5.52,8,18%,0,0.11,13.99,2.52,0,0,93.38
2025-03-03T16:58:20.391Z,GF1861924173,DILLI DARBAR,GFFBRTDI1726752040,"Borewell road , whitefield -560066",Completed,347.06,,0,244,30,13.719999999999999,8,18%,0,0.274,27.76,5.0,0,0,240.96
2025-03-03T17:43:14.152Z,GF1023869699,DILLI DARBAR,GFFBRTDI1726752040,Near Asha Tiffins,Completed,493.41999999999996,,0,316,25,17.080000000000002,8,18%,0,0.341,39.47,7.11,0,0,294.08
2025-03-03T19:16:12.537Z,GF3728693397,DILLI DARBAR,GFFBRTDI1726752040,Whitefield,Completed,381.06,,0,274,20,14.72,8,18%,0,0.294,30.48,5.49,0,0,257.73
